2025-02-02T05:34:32.688Z - Application Started
2025-02-02T05:34:32.690Z - Appliction event occurred
2025-02-02T05:34:35.694Z - Current Mermory Usage: 19.52
2025-02-02T05:34:38.696Z - Current Mermory Usage: 19.36
2025-02-02T05:34:41.704Z - Current Mermory Usage: 19.53
2025-02-02T05:34:44.717Z - Current Mermory Usage: 19.56
2025-02-02T05:34:47.723Z - Current Mermory Usage: 19.62
2025-02-02T05:34:50.729Z - Current Mermory Usage: 19.61
2025-02-02T05:34:53.740Z - Current Mermory Usage: 19.79
2025-02-02T05:34:56.753Z - Current Mermory Usage: 19.82
2025-02-02T05:34:59.762Z - Current Mermory Usage: 19.71
2025-02-02T05:35:02.768Z - Current Mermory Usage: 19.71
2025-02-02T05:35:05.781Z - Current Mermory Usage: 19.92
2025-02-02T05:35:08.782Z - Current Mermory Usage: 20.02
2025-02-02T05:35:11.785Z - Current Mermory Usage: 19.85
2025-02-02T05:35:14.788Z - Current Mermory Usage: 19.91
2025-02-02T05:35:17.798Z - Current Mermory Usage: 20.02
2025-02-02T05:35:20.806Z - Current Mermory Usage: 20.05
2025-02-02T05:35:23.807Z - Current Mermory Usage: 20.03
2025-02-02T05:35:26.810Z - Current Mermory Usage: 19.99
2025-02-02T05:35:29.817Z - Current Mermory Usage: 19.98
2025-02-02T05:35:32.821Z - Current Mermory Usage: 19.93
2025-02-02T05:35:35.824Z - Current Mermory Usage: 20.00
2025-02-02T05:35:38.838Z - Current Mermory Usage: 20.11
2025-02-02T05:35:41.852Z - Current Mermory Usage: 20.04
2025-02-02T05:35:44.865Z - Current Mermory Usage: 20.13
2025-02-02T05:35:47.872Z - Current Mermory Usage: 20.06
2025-02-02T05:35:50.876Z - Current Mermory Usage: 20.24
2025-02-02T05:35:53.877Z - Current Mermory Usage: 20.22
2025-02-02T05:35:56.885Z - Current Mermory Usage: 19.86
2025-02-02T05:35:59.890Z - Current Mermory Usage: 16.85
2025-02-02T05:36:02.890Z - Current Mermory Usage: 16.49
2025-02-02T05:36:05.904Z - Current Mermory Usage: 16.17
2025-02-02T05:36:08.909Z - Current Mermory Usage: 16.13
2025-02-02T05:36:11.918Z - Current Mermory Usage: 15.78
2025-02-02T05:36:14.926Z - Current Mermory Usage: 15.94
2025-02-02T05:36:17.936Z - Current Mermory Usage: 16.72
2025-02-02T05:36:20.945Z - Current Mermory Usage: 16.90
2025-02-02T05:36:23.958Z - Current Mermory Usage: 16.96
2025-02-02T05:36:26.960Z - Current Mermory Usage: 16.74
2025-02-02T05:36:29.960Z - Current Mermory Usage: 16.78
2025-02-02T05:36:32.962Z - Current Mermory Usage: 16.94
2025-02-02T05:36:35.962Z - Current Mermory Usage: 17.39
2025-02-02T05:36:38.963Z - Current Mermory Usage: 17.44
2025-02-02T05:36:41.965Z - Current Mermory Usage: 17.95
2025-02-02T05:36:44.979Z - Current Mermory Usage: 18.09
2025-02-02T05:36:47.989Z - Current Mermory Usage: 18.08
2025-02-02T05:36:50.990Z - Current Mermory Usage: 18.03
2025-02-02T05:36:54.001Z - Current Mermory Usage: 18.12
2025-02-02T05:36:57.014Z - Current Mermory Usage: 18.04
2025-02-02T05:37:00.027Z - Current Mermory Usage: 18.01
2025-02-02T05:37:03.033Z - Current Mermory Usage: 18.01
2025-02-02T05:37:06.040Z - Current Mermory Usage: 17.72
2025-02-02T05:37:09.054Z - Current Mermory Usage: 17.48
2025-02-02T05:37:12.058Z - Current Mermory Usage: 17.46
2025-02-02T05:37:15.069Z - Current Mermory Usage: 17.58
2025-02-02T05:37:18.079Z - Current Mermory Usage: 17.46
2025-02-02T05:37:21.092Z - Current Mermory Usage: 17.45
2025-02-02T05:37:24.108Z - Current Mermory Usage: 17.10
2025-02-02T05:37:27.111Z - Current Mermory Usage: 17.23
